ID,Gemeente,Locatie
1001386,Hannut,"Hannut,Wallonia,Belgium"
1001389,Herstal,"Herstal,Wallonia,Belgium"
1001390,Herve,"Herve,Wallonia,Belgium"
1001392,Huy,"Huy,Wallonia,Belgium"
1001393,Landen,"Landen,Flanders,Belgium"
1001394,Liege,"Liege,Liege,Wallonia,Belgium"
1001400,Namur,"Namur,Namur,Wallonia,Belgium"
1001404,Seraing,"Seraing,Wallonia,Belgium"
1001408,Verviers,"Verviers,Wallonia,Belgium"
1001409,Vise,"Vise,Wallonia,Belgium"
1001413,Wanze,"Wanze,Wallonia,Belgium"
1001414,Waremme,"Waremme,Wallonia,Belgium"
1001418,Arlon,"Arlon,Wallonia,Belgium"
1001421,Bastogne,"Bastogne,Wallonia,Belgium"
1001426,Marche-en-Famenne,"Marche-en-Famenne,Wallonia,Belgium"
1001430,Ciney,"Ciney,Wallonia,Belgium"
1001431,Dinant,"Dinant,Wallonia,Belgium"
1001432,Gembloux,"Gembloux,Wallonia,Belgium"
1001434,Sambreville,"Sambreville,Wallonia,Belgium"
1027852,Belgium,"Belgium,Wisconsin,United States"
20052,Brussels,"Brussels,Belgium"
20053,Antwerp,"Antwerp,Flanders,Belgium"
20054,Flemish Brabant,"Flemish Brabant,Flanders,Belgium"
20055,Limburg,"Limburg,Flanders,Belgium"
20056,East Flanders,"East Flanders,Flanders,Belgium"
20057,West Flanders,"West Flanders,Flanders,Belgium"
20058,Walloon Brabant,"Walloon Brabant,Wallonia,Belgium"
20059,Hainaut,"Hainaut,Wallonia,Belgium"
20060,Liege,"Liege,Wallonia,Belgium"
20061,Luxembourg,"Luxembourg,Wallonia,Belgium"
20062,Namur,"Namur,Wallonia,Belgium"
2056,Belgium,Belgium
9040000,Sprimont,"Sprimont,Wallonia,Belgium"
9040001,Maasmechelen,"Maasmechelen,Flanders,Belgium"
9040002,Meeuwen-Gruitrode,"Meeuwen-Gruitrode,Flanders,Belgium"
9040003,Riemst,"Riemst,Flanders,Belgium"
9040004,Oupeye,"Oupeye,Wallonia,Belgium"
9040005,Linter,"Linter,Flanders,Belgium"
9040006,Zoutleeuw,"Zoutleeuw,Flanders,Belgium"
9040007,Heusden-Zolder,"Heusden-Zolder,Flanders,Belgium"
9040008,Houthalen-Helchteren,"Houthalen-Helchteren,Flanders,Belgium"
9040009,Hechtel-Eksel,"Hechtel-Eksel,Flanders,Belgium"
9040010,Laakdal,"Laakdal,Flanders,Belgium"
9040011,Meerhout,"Meerhout,Flanders,Belgium"
9040012,Lummen,"Lummen,Flanders,Belgium"
9040013,Herselt,"Herselt,Flanders,Belgium"
9040014,Kasterlee,"Kasterlee,Flanders,Belgium"
9040015,Nijlen,"Nijlen,Flanders,Belgium"
9040016,Herenthout,"Herenthout,Flanders,Belgium"
9040017,Berlaar,"Berlaar,Flanders,Belgium"
9040018,Hulshout,"Hulshout,Flanders,Belgium"
9040019,Scherpenheuvel-Zichem,"Scherpenheuvel-Zichem,Flanders,Belgium"
9040020,Hoegaarden,"Hoegaarden,Flanders,Belgium"
9040021,Mont-Saint-Guibert,"Mont-Saint-Guibert,Wallonia,Belgium"
9040022,Farciennes,"Farciennes,Wallonia,Belgium"
9040023,Gerpinnes,"Gerpinnes,Wallonia,Belgium"
9040024,Walcourt,"Walcourt,Wallonia,Belgium"
9040025,Mettet,"Mettet,Wallonia,Belgium"
9040026,Amay,"Amay,Wallonia,Belgium"
9040027,Montigny-le-Tilleul,"Montigny-le-Tilleul,Wallonia,Belgium"
9040028,Pont-a-Celles,"Pont-a-Celles,Wallonia,Belgium"
9040029,Manage,"Manage,Wallonia,Belgium"
9040030,Chapelle-lez-Herlaimont,"Chapelle-lez-Herlaimont,Wallonia,Belgium"
9040031,Morlanwelz,"Morlanwelz,Wallonia,Belgium"
9040032,Fontaine-l'Eveque,"Fontaine-l'Eveque,Wallonia,Belgium"
9040033,Thuin,"Thuin,Wallonia,Belgium"
9040034,Jurbise,"Jurbise,Wallonia,Belgium"
9040035,Saint-Ghislain,"Saint-Ghislain,Wallonia,Belgium"
9040036,Boussu,"Boussu,Wallonia,Belgium"
9040037,Quaregnon,"Quaregnon,Wallonia,Belgium"
9040038,Colfontaine,"Colfontaine,Wallonia,Belgium"
9040039,Zingem,"Zingem,Flanders,Belgium"
9040040,Zwalm,"Zwalm,Flanders,Belgium"
9040041,Zulte,"Zulte,Flanders,Belgium"
9040042,Ingelmunster,"Ingelmunster,Flanders,Belgium"
9040043,Wingene,"Wingene,Flanders,Belgium"
9040044,Lichtervelde,"Lichtervelde,Flanders,Belgium"
9040045,Blankenberge,"Blankenberge,Flanders,Belgium"
9040046,Beernem,"Beernem,Flanders,Belgium"
9040047,Knesselare,"Knesselare,Flanders,Belgium"
9040048,Zomergem,"Zomergem,Flanders,Belgium"
9040049,Sint-Gillis-Waas,"Sint-Gillis-Waas,Flanders,Belgium"
9040050,Lede,"Lede,Flanders,Belgium"
9040051,Wichelen,"Wichelen,Flanders,Belgium"
9040052,Berlare,"Berlare,Flanders,Belgium"
9040053,Laarne,"Laarne,Flanders,Belgium"
9040054,Sint-Lievens-Houtem,"Sint-Lievens-Houtem,Flanders,Belgium"
9040055,Herzele,"Herzele,Flanders,Belgium"
9040056,Haaltert,"Haaltert,Flanders,Belgium"
9040057,Auderghem,"Auderghem,Brussels,Belgium"
9040058,Galmaarden,"Galmaarden,Flanders,Belgium"
9040059,Herne,"Herne,Flanders,Belgium"
9040060,Gooik,"Gooik,Flanders,Belgium"
9040061,Denderleeuw,"Denderleeuw,Flanders,Belgium"
9040062,Affligem,"Affligem,Flanders,Belgium"
9040063,Tielt-Winge,"Tielt-Winge,Flanders,Belgium"
9040064,Ganshoren,"Ganshoren,Brussels,Belgium"
9040065,Liedekerke,"Liedekerke,Flanders,Belgium"
9040066,Saint-Josse-ten-Noode,"Saint-Josse-ten-Noode,Brussels,Belgium"
9040067,Koekelberg,"Koekelberg,Brussels,Belgium"
